;Map;Team;InternalTeamId;MatchId;RoundId;RoundWinner;MatchWinner;Survived;AbnormalMatch;TimeAlive;TravelledDistance;RLethalGrenadesThrown;RNonLethalGrenadesThrown;PrimaryAssaultRifle;PrimarySniperRifle;PrimaryHeavy;PrimarySMG;PrimaryPistol;FirstKillTime;RoundKills;RoundAssists;RoundHeadshots;RoundFlankKills;RoundStartingEquipmentValue;TeamStartingEquipmentValue;MatchKills;MatchFlankKills;MatchAssists;MatchHeadshots
600;de_inferno;Terrorist;1;4;1;False;True;False;False;51.120.248.995.704.500;10.083.140.737.457.000;0;4;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;750;4400;0;0;0;0
601;de_inferno;Terrorist;1;4;1;False;True;False;False;4.348.662.552.266.170;60.960.883.184.688.400;0;0;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;800;4400;0;0;0;0
602;de_inferno;Terrorist;1;4;1;False;True;False;False;3.735.469.847.054.540;5.642.252.383.582.750;0;0;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;1000;4400;0;0;0;0
603;de_inferno;Terrorist;1;4;1;False;True;False;False;4.767.886.136.441.470;8.963.473.313.229.970;0;0;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;850;4400;0;0;0;0
604;de_inferno;Terrorist;1;4;1;False;True;True;False;5.312.251.089.027.310;10.865.649.734.393.100;1;1;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;1000;4400;0;0;0;0
605;de_inferno;CounterTerrorist;2;4;1;True;False;True;False;5.312.251.089.027.310;889.485.801.774.066;0;0;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;850;3750;0;0;0;0
606;de_inferno;CounterTerrorist;2;4;1;True;False;True;False;5.312.251.089.027.310;8.089.617.569.295.990;0;2;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;400;3750;0;0;0;0
607;de_inferno;CounterTerrorist;2;4;1;True;False;True;False;5.312.251.089.027.310;6.885.879.208.139.740;0;0;0.0;0.0;0.0;0.0;1;0.0;0;1;0;0;800;3750;0;0;1;0
608;de_inferno;CounterTerrorist;2;4;1;True;False;True;False;5.312.251.089.027.310;8.772.206.210.917.240;0;0;0.0;0.0;0.0;0.0;1;373.547;3;0;1;1;850;3750;3;1;0;1
609;de_inferno;CounterTerrorist;2;4;1;True;False;True;False;5.312.251.089.027.310;7.849.180.428.641.930;0;0;0.0;0.0;0.0;0.0;1;5.112.025;2;0;2;0;850;3750;2;0;0;2
610;de_inferno;Terrorist;1;4;2;True;True;True;False;5.287.222.815.345.200;916.978.879.935.048;0;0;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;300;1300;0;0;0;0
611;de_inferno;Terrorist;1;4;2;True;True;False;False;4.874.256.299.590.430;7.071.749.552.489.450;0;1;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;200;1300;0;0;0;0
612;de_inferno;Terrorist;1;4;2;True;True;False;False;4.117.151.020.706.680;7.019.916.431.220.190;0;0;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;300;1300;0;0;0;0
613;de_inferno;;1;4;2;True;True;False;False;3.322.503.331.299.760;569.836.702.516.348;0;0;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;300;1300;0;0;0;0
614;de_inferno;Terrorist;1;4;2;True;True;False;False;4.386.204.962.789.330;7.091.953.517.625.200;0;0;0.0;0.0;0.0;0.0;1;0.0;0;0;0;0;200;1300;0;0;0;0
615;de_inferno;CounterTerrorist;2;4;2;False;False;True;False;5.287.222.815.345.200;6.573.500.173.193.060;0;0;1.0;0.0;0.0;0.0;0;332.250.328;3;0;2;0;4300;19950;3;0;0;2
616;de_inferno;CounterTerrorist;2;4;2;False;False;True;False;5.287.222.815.345.200;8.623.758.078.406.500;0;0;1.0;0.0;0.0;0.0;0;0.0;0;1;0;0;3850;19950;0;0;1;0
617;de_inferno;CounterTerrorist;2;4;2;False;False;True;False;5.287.222.815.345.200;63.335.001.497.729.300;1;0;0.0;0.0;0.0;1.0;0;4.117.151;1;0;1;0;3550;19950;1;0;1;1
618;de_inferno;CounterTerrorist;2;4;2;False;False;True;False;5.287.222.815.345.200;5.389.651.970.334.480;0;0;1.0;0.0;0.0;0.0;0;4.386.205;1;0;0;0;4500;19950;4;1;0;1
